411	545
411	838
411	144
411	319
411	221
411	821
888	872
888	545
888	515
888	144
888	450
888	424
888	162
888	670
888	476
584	450
584	122
584	670
584	476
791	851
791	128
791	164
791	144
791	287
791	328
791	238
791	767
791	933
791	600
212	933
212	545
154	660
154	545
154	933
746	545
746	81
746	838
746	144
746	964
746	476
746	933
87	851
87	128
87	164
87	144
87	287
87	328
87	238
87	767
87	933
87	600
153	838
153	144
153	98
153	328
716	851
716	128
716	164
716	144
716	287
716	328
716	238
716	767
716	933
716	600
980	70
980	16
980	181
867	383
867	681
867	868
867	360
867	110
867	545
867	52
867	983
867	610
867	806
867	961
867	467
867	367
867	915
867	144
867	933
867	838
867	499
867	363
867	454
867	870
867	907
929	851
929	128
929	164
929	144
929	287
929	328
929	238
929	767
929	933
929	600
668	933
668	751
668	776
355	144
355	450
355	476
355	507
355	135
632	545
632	52
632	983
632	144
632	838
632	867
632	868
632	600
632	933
632	914
632	907
273	369
273	545
273	81
273	838
273	144
273	603
273	476
273	933
221	508
221	450
221	319
221	933
221	751
337	177
337	738
337	627
337	545
337	350
337	543
337	630
337	847
337	53
337	488
337	852
337	372
337	861
337	3
4	472
4	124
4	807
4	677
4	310
4	73
4	766
4	843
4	59
4	50
4	763
4	709
4	780
4	894
4	168
4	486
4	594
4	512
4	877
4	834
4	720
4	770
4	554
4	928
4	147
4	837
373	993
373	921
426	372
527	545
527	838
527	144
527	319
527	221
527	821
766	472
766	124
766	807
766	677
766	310
766	73
766	766
766	955
766	843
766	466
766	50
766	386
766	763
766	780
766	709
766	59
766	306
766	486
766	168
766	594
766	512
766	834
766	720
766	770
766	928
766	147
766	213
766	837
582	740
582	862
582	626
582	391
582	604
582	259
582	880
582	640
869	872
869	424
869	670
869	476
544	851
544	128
544	164
544	144
544	287
544	328
544	238
544	767
544	933
544	600
104	380
104	545
835	280
835	273
835	545
835	81
835	351
835	804
835	747
835	341
835	144
835	398
835	801
835	624
835	34
835	669
835	476
835	38
835	933
835	573
835	838
835	836
835	172
835	672
835	964
150	472
150	124
150	807
150	677
150	310
150	73
150	766
150	955
150	843
150	466
150	50
150	386
150	763
150	780
150	709
150	59
150	306
150	486
150	168
150	594
150	512
150	834
150	720
150	770
150	928
150	147
150	213
150	837
237	720
237	807
237	677
237	145
237	763
23	545
23	838
23	144
23	600
23	933
408	769
408	790
408	622
408	504
408	522
408	188
408	169
408	957
408	727
408	954
408	864
408	601
408	637
408	675
408	322
408	114
408	840
408	267
408	768
408	2
408	667
317	351
317	144
356	472
356	124
356	807
356	677
356	310
356	73
356	766
356	843
356	466
356	59
356	763
356	571
356	780
356	50
356	168
356	486
356	594
356	512
356	877
356	834
356	720
356	803
356	770
356	554
356	928
356	147
356	213
356	837
298	273
298	476
298	840
754	545
754	838
754	144
754	719
754	476
754	933
913	933
913	545
913	476
913	860
691	740
691	862
691	58
691	626
691	391
691	604
691	157
691	259
691	704
691	640
452	97
452	398
452	280
452	476
452	172
452	669
575	545
575	838
575	144
575	476
575	351
575	933
367	838
367	144
367	545
367	867
367	933
938	545
938	838
938	144
938	476
938	351
938	933
855	494
245	476
740	740
740	862
740	58
740	626
740	391
740	604
740	157
740	259
740	704
740	640
144	545
144	175
144	838
144	319
144	600
144	933
37	545
37	838
37	144
37	600
37	933
265	545
265	838
265	144
265	498
265	933
265	160
222	894
222	720
222	807
222	843
222	73
222	955
222	766
222	279
323	78
323	859
764	545
764	838
764	144
764	319
764	221
764	821
471	838
471	144
471	933
471	379
506	851
506	128
506	164
506	144
506	287
506	328
506	238
506	767
506	933
506	600
208	600
511	545
511	838
511	144
511	933
103	545
103	81
103	838
103	144
103	319
103	476
103	933
464	769
464	790
464	622
464	504
464	522
464	188
464	169
464	957
464	727
464	954
464	864
464	601
464	637
464	675
464	322
464	114
464	840
464	267
464	768
